group	name	protocol	status	base_url	model	message
1	simpleai_claude	openai	200	https://key.simpleai.com.cn	claude-sonnet-4-6	{"id":"msg_20260421171600","model":"claude-sonnet-4-6","object":"chat.completion","created":1776762960,"choices":[{"index":0,"message":{"rol
1	simpleai_claude	anthropic	200	https://key.simpleai.com.cn	claude-sonnet-4-6	{"id":"94c11edb-b935-4df5-b7e7-c2bb178289a6","type":"message","role":"assistant","model":"claude-sonnet-4-5","stop_reason":"end_turn","stop_
2	huya_anthropic	openai	404	https://copilot.huya.info/api/anthropic	z-ai/glm-5.1	{"detail":"Not Found"}
2	huya_anthropic	anthropic	400	https://copilot.huya.info/api/anthropic	z-ai/glm-5.1	{"type":"error","error":{"type":"invalid_request_error","message":"llmproxy.BadRequestError: llmproxy_proxyException - Budget has been excee
3	mytokenland	openai	EXC	https://api.mytokenland.com	glm-5.1	The read operation timed out
3	mytokenland	anthropic	EXC	https://api.mytokenland.com	glm-5.1	The read operation timed out
