group	name	protocol	status	base_url	model	message
1	simpleai_claude	openai	200	https://key.simpleai.com.cn	claude-sonnet-4-6	{"id":"msg_18a854af09293e8f","model":"claude-sonnet-4-6","object":"chat.completion","created":1776763167,"choices":[{"index":0,"message":{"r
1	simpleai_claude	anthropic	200	https://key.simpleai.com.cn	claude-sonnet-4-6	{"id":"59c2708c-75a2-40bc-be88-b9fc35cf1476","type":"message","role":"assistant","model":"claude-sonnet-4-5","stop_reason":"end_turn","stop_
2	huya_anthropic	openai	404	https://copilot.huya.info/api/anthropic	z-ai/glm-5.1	{"detail":"Not Found"}
2	huya_anthropic	anthropic	400	https://copilot.huya.info/api/anthropic	z-ai/glm-5.1	{"type":"error","error":{"type":"invalid_request_error","message":"llmproxy.BadRequestError: llmproxy_proxyException - Budget has been excee
3	mytokenland	openai	EXC	https://api.mytokenland.com	glm-5.1	The read operation timed out
3	mytokenland	anthropic	EXC	https://api.mytokenland.com	glm-5.1	The read operation timed out
